Cifras Oficiales de Población de los Municipios Españoles: Revisión del Padrón Municipal
Resumen por capitales de provincia
Población por capitales de provincia y sexo.
Unidades: Personas
;Total;
;2016;
Total capitales de provincia;1.4805668E7;
02003 Albacete;172426.0;
03014 Alicante/Alacant;330525.0;
04013 Almería;194515.0;
05019 Ávila;58083.0;
06015 Badajoz;149946.0;
08019 Barcelona;1608746.0;
48020 Bilbao;345122.0;
09059 Burgos;176608.0;
10037 Cáceres;95814.0;
11012 Cádiz;118919.0;
12040 Castellón de la Plana/Castelló de la Plana;170990.0;
13034 Ciudad Real;74054.0;
14021 Córdoba;326609.0;
15030 Coruña, A;243978.0;
16078 Cuenca;55102.0;
20069 Donostia/San Sebastián;186064.0;
17079 Girona;98255.0;
18087 Granada;234758.0;
19130 Guadalajara;83633.0;
21041 Huelva;145468.0;
22125 Huesca;52282.0;
23050 Jaén;114658.0;
24089 León;126192.0;
25120 Lleida;138144.0;
26089 Logroño;150876.0;
27028 Lugo;98268.0;
28079 Madrid;3165541.0;
29067 Málaga;569009.0;
30030 Murcia;441003.0;
32054 Ourense;105893.0;
33044 Oviedo;220567.0;
34120 Palencia;79137.0;
07040 Palma de Mallorca;402949.0;
35016 Palmas de Gran Canaria, Las;378998.0;
31201 Pamplona/Iruña;195650.0;
36038 Pontevedra;82549.0;
37274 Salamanca;144949.0;
38038 Santa Cruz de Tenerife;203585.0;
39075 Santander;172656.0;
40194 Segovia;52257.0;
41091 Sevilla;690566.0;
42173 Soria;39171.0;
43148 Tarragona;131094.0;
44216 Teruel;35564.0;
45168 Toledo;83459.0;
46250 Valencia;790201.0;
47186 Valladolid;301876.0;
01059 Vitoria-Gasteiz;244634.0;
49275 Zamora;63217.0;
50297 Zaragoza;661108.0;
Notas:
Las cifras de 1996 están referidas a 1 de mayo y  las demás a 1 de enero.
No existen cifras a 1 de enero de 1997 porque no se realizó revisión del padrón para ese año
Fuente: Instituto Nacional de Estadística
